DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,Year,Month,Day,LEVEL,Is_quarter_end,Difference,Percent
2015-11-30,140.4,142.47,138.0,138.0,39789880,2015,11,30,lower,0,4.469999999999999,3.1375026321330797
2015-12-01,140.0,140.0,136.88,137.42,24873380,2015,12,1,lower,1,3.1200000000000045,2.2285714285714318
2015-12-02,137.6,139.45,136.3,136.85,28300650,2015,12,2,lower,1,3.1499999999999773,2.258874148440285
2015-12-03,136.53,140.66,136.53,140.0,41859050,2015,12,3,lower,1,4.1299999999999955,2.9361581117588478
2015-12-04,140.44,141.6,137.0,137.7,37005860,2015,12,4,lower,1,4.599999999999994,3.2485875706214653
2015-12-07,137.7,138.58,134.3,134.5,37330020,2015,12,7,lower,1,4.280000000000001,3.088468754510031
2015-12-08,134.31,135.56,133.28,134.65,35578850,2015,12,8,lower,1,2.280000000000001,1.6819120684567728
2015-12-09,134.93,136.2,134.4,135.81,25635980,2015,12,9,lower,1,1.799999999999983,1.321585903083688
2015-12-10,135.65,136.82,135.0,135.6,25901290,2015,12,10,lower,1,1.8199999999999932,1.3302148808653655
2015-12-11,135.24,135.6,132.5,133.8,27466750,2015,12,11,lower,1,3.0999999999999943,2.286135693215335
2015-12-14,133.02,133.18,130.9,131.59,34262340,2015,12,14,lower,1,2.280000000000001,1.7119687640786911
2015-12-15,132.24,134.9,132.1,134.4,31372280,2015,12,15,lower,1,2.8000000000000114,2.07561156412158
2015-12-16,134.5,135.17,133.95,134.5,20565320,2015,12,16,lower,1,1.2199999999999989,0.9025671376784781
2015-12-17,134.65,138.69,134.65,137.9,45358050,2015,12,17,lower,1,4.039999999999992,2.912971375009007
2015-12-18,137.27,137.39,132.25,132.25,38497300,2015,12,18,lower,1,5.139999999999986,3.7411747579881993
2015-12-21,132.2,133.94,131.0,131.5,28366260,2015,12,21,lower,1,2.9399999999999977,2.1950126922502595
2015-12-22,132.0,133.54,131.81,133.2,19980360,2015,12,22,lower,1,1.7299999999999898,1.2954919874194921
2015-12-23,133.52,135.3,133.35,135.3,26750860,2015,12,23,lower,1,1.950000000000017,1.4412416851441365
2015-12-24,135.8,138.08,134.45,136.0,36684830,2015,12,24,lower,1,3.630000000000024,2.6289107763615465
2015-12-25,136.47,136.47,134.03,134.48,14857980,2015,12,25,lower,1,2.4399999999999977,1.7879387411152619
